gtap_code,china,canada,mexico,japan,uk,eu,row,ftrow
b_t,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
bph,0.2,0.35,0.25,0,0,0,0,0
c_b,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
chm,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
cmt,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
coa,0.2,0.1,0.25,0,0,0,0,0
ctl,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
eeq,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
ele,0.214838233,0.043067791,0.002175053,0.052772377,0.073411363,0.092736817,0.045313707,0.022227413
ely,0.2,0.1,0.25,0,0,0,0,0
fmp,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
frs,0.2,0.35,0.25,0,0,0,0,0
fsh,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
gas,0.2,0.1,0.25,0,0,0,0,0
gdt,0.2,0.1,0.25,0,0,0,0,0
gro,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
i_s,0,0,0,0,0,0,0,0
lea,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
lum,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
mil,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
mvh,0,0,0,0,0,0,0,0
nfm,0,0,0,0,0,0,0,0
nmm,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
oap,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
ocr,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
ofd,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
oil,0.2,0.1,0.25,0,0,0,0,0
ome,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
omf,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
omt,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
osd,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
otn,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
oxt,0.2,0.1,0.25,0,0,0,0,0
p_c,0.2,0.1,0.25,0,0,0,0,0
pcr,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
pdr,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
pfb,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
ppp,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
rpp,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
sgr,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
tex,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
v_f,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
vol,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
wap,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
wht,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
wol,0.3,0.35,0.25,0.15,0.1,0.15,0.1,0.1
